x_loc,y_loc,duration,play_pattern_name,shot_body_part_name,shot_first_time,shot_one_on_one,shot_open_goal,shot_technique_name,under_pressure,goal,distance,angle,shot_cone_angle,direct_free_kick,shot_cone,num_players_in_shot_cone,distance_to_nearest_opponent,end_x_loc,end_y_loc,end_z_loc,distance_to_nearest_opponent_na,cone_density,avg_vel,v1,v2,t,est_end_x,est_end_y
101.0,22.0,1.179654,From Throw In,Right Foot,0,0,0,Normal,0,0,26.1725046566048,0.7583777142101835,0.2234119933102541,0,76.0,2,8.764131445842201,118.0,38.0,0.2,False,0.02631578947368421,22.18659425272563,17.0,16.0,1.1176470588235294,120.0,39.88235294117647
98.7,34.4,1.007112,Regular Play,Left Foot,0,0,0,Half Volley,0,0,22.023850707812198,0.2570926079726611,0.3484628450974746,0,85.20000000000005,1,8.697700845625814,117.8,37.1,0.8,False,0.011737089201877928,21.86832319326172,19.099999999999994,2.700000000000003,1.1151832460732987,120.0,37.410994764397905
102.6,39.6,1.134452,From Free Kick,Right Foot,1,0,0,Normal,1,1,17.404597093871498,0.022984457441451993,0.45169933884142205,1,69.60000000000001,0,6.008327554319918,120.0,42.9,2.0,False,0.0,15.341854123287277,17.400000000000006,3.299999999999997,1.0,120.0,42.9
96.5,44.7,0.047,From Free Kick,Left Foot,1,0,0,Normal,0,0,23.96539171388609,0.19739555984988089,0.32478862300906625,1,94.00000000000003,0,13.718600511714014,118.5,41.3,1.1,False,0.0,509.9019513592785,22.0,-3.4000000000000057,1.0681818181818181,120.0,41.06818181818181
106.4,27.5,0.1367,From Free Kick,Right Foot,0,0,0,Normal,0,0,18.471870506258963,0.7432774966858828,0.32284790463809837,1,54.39999999999998,0,11.512167476196664,118.4,38.3,2.3,False,0.0,135.1270702725601,12.0,10.799999999999997,1.1333333333333329,120.0,39.739999999999995
95.5,31.9,0.7609560000000001,From Keeper,Right Foot,0,0,0,Normal,0,0,25.80426321366297,0.3192995789123965,0.2929271741367439,0,98.0,1,7.366138744281158,118.3,38.0,1.5,False,0.01020408163265306,33.910322296772705,22.799999999999997,6.100000000000001,1.074561403508772,120.0,38.45482456140351
99.1,36.1,1.081321,From Counter,Right Foot,0,0,0,Normal,0,1,21.260761980700508,0.18448114871032756,0.3661744891062655,0,83.60000000000002,0,15.700318468107586,120.0,42.9,0.5,False,0.0,19.661841378000158,20.900000000000006,6.799999999999997,1.0,120.0,42.9
113.6,33.7,0.680923,From Throw In,Head,0,0,0,Normal,1,0,8.98053450525079,0.7775243103733471,0.6698172058553867,0,25.59999999999991,0,6.98569967862919,118.5,36.0,0.2,False,0.0,13.188766578968238,4.900000000000006,2.299999999999997,1.3061224489795915,120.0,36.70408163265306
114.3,39.3,0.24803200000000003,From Free Kick,Head,0,0,0,Normal,1,0,5.742821606144495,0.12219517069135548,1.214334787937542,1,22.80000000000001,1,3.2526911934581144,116.5,39.1,1.7,False,0.043859649122806994,23.153551179462706,2.200000000000003,-0.19999999999999574,2.590909090909089,120.0,38.78181818181819
107.5,53.2,0.425178,Regular Play,Right Foot,1,0,0,Normal,0,0,18.179383927955318,0.8126287849229384,0.30786508693322584,0,50.0,0,16.41249523990792,115.9,43.1,0.3,False,0.0,42.75711332184478,8.400000000000006,-10.100000000000001,1.488095238095237,120.0,38.170238095238105
113.2,51.5,0.365852,Regular Play,Right Foot,0,1,0,Normal,1,0,13.360014970051491,1.0367952236232976,0.32306083101960403,0,27.19999999999999,0,12.722421153223939,119.0,43.8,1.6,False,0.0,36.51753979765449,5.799999999999997,-7.700000000000003,1.1724137931034484,120.0,42.47241379310344
105.3,33.1,0.641493,Regular Play,Right Foot,0,0,0,Normal,0,0,16.238842323269232,0.43885929896350634,0.44325891752623325,0,58.799999999999955,0,5.597320787662611,118.5,39.8,0.3,False,0.0,25.314137992572377,13.200000000000003,6.699999999999996,1.1136363636363635,120.0,40.56136363636363
115.8,30.8,0.269293,Regular Play,Right Foot,0,1,0,Normal,0,0,10.113357503816426,1.1425321739182415,0.37136102438407254,0,16.800000000000068,0,10.198039027185565,118.2,35.1,0.2,False,0.0,37.55521867934341,2.4000000000000057,4.300000000000001,1.7499999999999971,120.0,38.32499999999999
93.2,24.5,1.296063,Regular Play,Right Foot,0,0,0,Normal,0,0,30.9594896598765,0.5243544004855949,0.2236760803825154,0,107.20000000000005,0,12.070211265756702,117.9,42.4,1.3,False,0.0,23.88733391808616,24.700000000000003,17.9,1.0850202429149796,120.0,43.92186234817814
110.7,46.4,1.054976,From Throw In,Right Foot,1,0,0,Normal,0,1,11.289375536317317,0.6027435504828775,0.588623528646285,0,37.19999999999996,0,9.831073186585485,120.0,36.7,0.2,False,0.0,10.70107332898314,9.299999999999997,-9.699999999999996,1.0,120.0,36.7
115.9,49.5,0.568009,From Corner,Head,0,1,0,Normal,0,0,10.346980235798267,1.1633664748937222,0.34573445058797025,0,16.399999999999977,1,6.942621983083911,119.0,42.9,1.1,False,0.06097560975609764,18.216225862263215,3.0999999999999943,-6.600000000000001,1.322580645161291,120.0,40.77096774193548
101.1,50.9,1.324624,Regular Play,Left Foot,0,0,0,Normal,0,0,21.817882573705457,0.5231256270652127,0.31755795328171654,0,75.60000000000002,0,10.218121158021177,119.2,42.9,0.5,False,0.0,16.47100050558155,18.10000000000001,-8.0,1.0441988950276242,120.0,42.546408839779005
86.1,51.0,1.3963,From Free Kick,Left Foot,0,0,0,Normal,0,0,35.640005611671846,0.3137649211329591,0.21295317190601945,1,135.59999999999997,0,11.328283188550678,119.0,41.5,1.0,False,0.0,25.524604749460604,32.900000000000006,-9.5,1.0303951367781155,120.0,41.2112462006079
97.2,52.3,1.008134,From Throw In,Right Foot,1,0,0,Normal,0,0,25.906176869619337,0.4947256824842484,0.27154113537102953,0,91.20000000000002,0,9.104943712072027,118.1,41.1,2.3,False,0.0,25.697156201079753,20.89999999999999,-11.199999999999996,1.0909090909090913,120.0,40.08181818181818
105.5,39.4,0.388572,Regular Play,Right Foot,1,0,0,Normal,0,0,14.512408483776909,0.04135571737381224,0.5375202994309913,0,58.000000000000014,2,4.90407993409569,117.8,38.8,0.9,False,0.03448275862068965,37.348055144933014,12.299999999999997,-0.6000000000000014,1.1788617886178865,120.0,38.692682926829264
109.1,45.3,0.392984,Regular Play,Right Foot,1,0,0,Normal,0,1,12.120231020900555,0.4525779504706987,0.5876499320756785,0,43.599999999999966,0,8.292767933567172,120.0,39.2,0.3,False,0.0,30.84153813107036,10.900000000000006,-6.099999999999994,1.0,120.0,39.2
112.2,49.0,0.11660999999999999,Regular Play,Left Foot,0,0,0,Normal,0,0,11.909659944767522,0.8567056281827388,0.46033636282460244,0,31.19999999999999,1,16.82676439485619,114.1,47.2,0.2,False,0.03205128205128206,102.13240669554519,1.8999999999999915,-1.7999999999999972,4.105263157894754,120.0,41.61052631578946
97.8,55.8,1.190779,Regular Play,Left Foot,0,0,0,Normal,0,0,27.248486196484386,0.6185430029976591,0.23976389097013825,0,88.79999999999995,0,11.788977903109325,117.7,41.0,0.8,False,0.0,22.882907908591253,19.900000000000006,-14.799999999999997,1.115577889447236,120.0,39.289447236180905
104.9,51.0,0.690398,From Throw In,Right Foot,0,0,0,Normal,0,0,18.681809334215995,0.6295833779490778,0.34798958604866803,0,60.39999999999998,1,8.514693182963201,117.6,41.5,2.2,False,0.01655629139072848,27.059477771105936,12.699999999999989,-9.5,1.1889763779527565,120.0,39.704724409448815
108.1,46.6,1.2573,Regular Play,Right Foot,1,0,0,Half Volley,0,0,13.607718398026913,0.5063847286391786,0.5125774766519127,0,47.60000000000004,0,2.88617393793236,118.8,40.9,0.3,False,0.0,10.822968581903215,10.700000000000003,-5.700000000000003,1.1121495327102806,120.0,40.2607476635514
112.6,33.0,0.528027,From Throw In,Other,1,0,0,Normal,0,0,10.186265262597479,0.7576275268040269,0.59345214088178,0,29.600000000000023,0,10.690182411914213,118.4,36.8,2.0,False,0.0,19.291182577022536,5.800000000000011,3.799999999999997,1.2758620689655158,120.0,37.84827586206896
91.2,34.7,0.8450979999999999,From Free Kick,Right Foot,1,0,0,Half Volley,0,0,29.28361316504505,0.18199155395670757,0.2672381737223346,1,115.19999999999987,0,7.119691004531021,114.7,36.2,0.4,False,0.0,34.65114479627813,23.5,1.5,1.2255319148936168,120.0,36.53829787234043
111.1,25.5,0.764666,Regular Play,Left Foot,0,0,0,Normal,0,1,17.013524032369077,1.0202965228052645,0.2547119271298513,0,35.59999999999991,0,7.7935871073594845,120.0,37.4,0.2,False,0.0,22.24961490686009,8.900000000000006,11.899999999999999,1.0,120.0,37.4
115.1,28.0,0.332072,Regular Play,Right Foot,0,0,0,Normal,0,0,12.961867149450347,1.1831267484208976,0.2523791831100646,0,19.600000000000023,2,7.569015788066496,119.7,36.2,0.2,False,0.10204081632653049,39.033303468676515,4.6000000000000085,8.200000000000003,1.065217391304347,120.0,36.734782608695646
81.9,51.1,1.7585330000000001,From Throw In,Right Foot,1,0,0,Half Volley,0,1,39.684001814333186,0.2834917203454551,0.19309623704554257,0,152.40000000000003,0,3.6359317925395653,120.0,42.6,2.0,False,0.0,22.566538025918867,38.099999999999994,-8.5,1.0,120.0,42.6
106.4,42.5,0.590475,Regular Play,Right Foot,1,0,0,Volley,0,0,13.827870407260832,0.18179398894804166,0.5556954544214403,0,54.39999999999998,1,8.061017305526645,117.5,43.2,0.2,False,0.018382352941176478,23.418214839342617,11.099999999999994,0.7000000000000028,1.2252252252252254,120.0,43.35765765765766
110.4,42.4,1.0571959999999998,Regular Play,Head,0,0,0,Normal,1,0,9.895453501482379,0.24497866312686414,0.7531512809621946,0,38.39999999999995,0,7.470609078247912,118.6,40.1,2.0,False,0.0,9.36009358858942,8.199999999999989,-2.299999999999997,1.1707317073170742,120.0,39.70731707317073
105.6,20.9,0.7481,Regular Play,Left Foot,1,0,0,Normal,0,0,23.92007525071776,0.9247868620583447,0.20424271031320132,0,57.59999999999991,0,10.538500842150178,119.6,36.9,2.0,False,0.0,31.97443557107039,14.0,16.0,1.028571428571429,120.0,37.35714285714286
112.1,49.2,0.147447,From Free Kick,Right Foot,1,0,0,Lob,0,0,12.126417442921886,0.8612756005229353,0.44935408510530206,1,31.60000000000008,1,20.100995000248115,113.3,48.3,0.9,False,0.03164556962025308,82.24255117379049,1.2000000000000028,-0.9000000000000057,6.583333333333322,120.0,43.27499999999998
105.5,60.3,1.202112,From Throw In,Right Foot,0,0,0,Half Volley,1,0,24.946743274423618,0.9505468408120751,0.18902774042045495,0,58.0,0,7.158910531638178,119.7,43.6,2.4,False,0.0,20.75242845460624,14.200000000000003,-16.699999999999996,1.02112676056338,120.0,43.247183098591556
107.1,50.1,0.814294,From Counter,Right Foot,0,0,0,Normal,1,1,16.383528313522707,0.6642551492395249,0.38810582223551593,0,51.60000000000002,0,11.859595271340421,120.0,36.6,0.2,False,0.0,20.1199177613033,12.900000000000006,-13.5,1.0,120.0,36.6
112.4,49.3,0.853532,Regular Play,Right Foot,1,0,0,Normal,0,1,12.010412149464308,0.885652638903024,0.4426925929118654,0,30.39999999999992,0,11.531695452100708,120.0,37.0,0.5,False,0.0,14.071425733849825,7.599999999999994,-12.299999999999997,1.0,120.0,37.0
117.0,47.0,0.262704,From Throw In,Right Foot,1,0,0,Volley,0,0,7.615773105863909,1.1659045405098132,0.5191461142465225,0,12.0,0,9.362157870918438,117.8,45.9,0.2,False,0.0,28.989939650191506,0.7999999999999972,-1.1000000000000014,3.7500000000000133,120.0,42.87499999999998
109.4,36.4,1.6257,From Corner,Head,0,0,0,Normal,1,0,11.19464157532522,0.3274002118002268,0.6597499677560368,0,42.39999999999998,0,1.8027756377319955,119.0,38.0,2.3,False,0.0,6.886043904364409,9.599999999999994,1.6000000000000014,1.1041666666666667,120.0,38.166666666666664
116.9,37.3,1.084006,From Throw In,Right Foot,0,0,0,Backheel,0,1,4.11096095821889,0.7165416740964051,1.5345219229378488,0,12.399999999999977,0,6.711929677819934,120.0,37.7,1.0,False,0.0,3.792378416926558,3.0999999999999943,0.4000000000000057,1.0,120.0,37.7
103.3,58.3,0.7844909999999999,Regular Play,Right Foot,0,0,0,Normal,0,0,24.77458375028731,0.8310806444721109,0.21988016071153318,0,66.79999999999995,1,15.915401345866204,117.5,43.4,0.2,False,0.014970059880239531,31.580456308979084,14.200000000000003,-14.899999999999999,1.176056338028169,120.0,40.77676056338028
101.9,36.6,1.211409,From Free Kick,Right Foot,0,0,0,Half Volley,0,0,18.416568627190024,0.18568150568712688,0.42124060896339377,1,72.39999999999998,1,9.83107318658548,119.3,42.2,1.2,False,0.013812154696132601,15.202601786176283,17.39999999999999,5.600000000000001,1.0402298850574714,120.0,42.425287356321846
115.9,42.8,0.466898,From Free Kick,Left Foot,1,0,0,Volley,0,1,4.9648766349225575,0.599175322986307,1.3129474411916198,1,16.399999999999977,0,7.011419257183242,120.0,39.9,0.3,False,0.0,10.633750058733508,4.099999999999994,-2.8999999999999986,1.0,120.0,39.9
105.4,22.5,0.6010310000000001,Regular Play,Left Foot,1,0,0,Normal,0,0,22.79056822459677,0.8754962529044888,0.22798381050724773,0,58.40000000000009,0,18.5625968010944,118.6,35.7,2.2,False,0.0,37.919122681852954,13.199999999999989,13.200000000000003,1.1060606060606066,120.0,37.10000000000001
89.1,50.9,1.196885,Regular Play,Right Foot,0,0,0,Normal,0,0,32.76614106055213,0.33912332378357785,0.22961030679072383,0,123.59999999999998,2,4.438468204234426,116.5,38.5,1.7,False,0.016181229773462785,27.37618155508017,27.400000000000006,-12.399999999999999,1.1277372262773722,120.0,36.916058394160586
112.5,41.2,0.673114,From Throw In,Head,0,0,0,Normal,0,0,7.595393340703298,0.15865526218640177,0.9635463471951329,0,30.0,1,3.4438350715445076,118.8,41.0,0.2,False,0.03333333333333333,11.28396280675086,6.299999999999997,-0.20000000000000284,1.190476190476191,120.0,40.96190476190476
108.8,34.7,0.9470000000000001,From Corner,Head,0,0,0,Normal,0,0,12.390722335683261,0.4419903458362918,0.5774249213855944,0,44.799999999999955,0,2.860069929215013,119.3,38.2,1.1,False,0.0,13.08418409259056,10.5,3.5,1.0666666666666669,120.0,38.43333333333334
108.6,28.8,1.073331,Regular Play,Right Foot,0,0,0,Normal,0,1,15.981239000778384,0.7765488368811903,0.36397895650964435,0,45.600000000000136,0,22.770595073471394,120.0,37.2,0.2,False,0.0,14.889385474544557,11.400000000000006,8.400000000000002,1.0,120.0,37.2
101.3,30.5,0.918695,Regular Play,Right Foot,0,0,0,Normal,0,0,20.97474672075923,0.47004411024741627,0.3392383241639161,0,74.79999999999995,0,7.305477397131557,118.7,37.6,0.7,False,0.0,22.831023049825273,17.400000000000006,7.100000000000001,1.0747126436781607,120.0,38.13045977011494
107.5,50.2,0.5171020000000001,From Throw In,Left Foot,0,0,0,Normal,0,0,16.133505508723147,0.6844211819537024,0.38854025400186426,0,50.00000000000005,1,7.262231062146125,118.4,44.0,0.3,False,0.01999999999999998,31.19985130346265,10.900000000000006,-6.200000000000003,1.1467889908256874,120.0,43.08990825688074
110.3,40.1,0.802294,From Throw In,Right Foot,1,0,0,Half Volley,0,1,9.700515450222223,0.010308913146243428,0.7821868706468683,0,38.80000000000001,0,5.531726674375735,120.0,37.8,0.4,False,0.0,12.09097344642017,9.700000000000003,-2.3000000000000043,1.0,120.0,37.8
93.8,39.8,1.152657,Regular Play,Left Foot,0,0,0,Normal,0,0,26.200763347658405,0.007633439517493178,0.3029867733176869,0,104.79999999999997,2,7.764663547121668,117.3,40.1,1.9,False,0.01908396946564886,22.7307545502768,23.5,0.30000000000000426,1.1148936170212767,120.0,40.134468085106384
107.7,52.7,1.809084,From Goal Kick,Right Foot,0,0,0,Normal,0,1,17.679932126566552,0.8013967982737921,0.32035399206456133,0,49.200000000000045,1,8.415461959987693,120.0,37.4,2.2,False,0.020325203252032503,9.772864127130942,12.299999999999997,-15.300000000000004,1.0,120.0,37.4
112.4,30.6,0.241492,From Free Kick,Left Foot,0,0,0,Lob,0,0,12.088010589009256,0.8908874719225393,0.43711508776337915,1,30.399999999999977,0,6.603029607687676,113.8,32.0,1.0,False,0.0,50.055532228849216,1.3999999999999915,1.3999999999999986,5.428571428571457,120.0,38.20000000000003
113.7,37.6,0.8177369999999999,From Free Kick,Right Foot,1,0,0,Normal,0,1,6.7416615162732665,0.36397895650964407,1.041982005515072,1,25.199999999999932,0,2.701851217221263,120.0,40.8,0.2,False,0.0,8.244290665914917,6.299999999999997,3.1999999999999957,1.0,120.0,40.8
119.1,42.6,0.5317109999999999,From Corner,Right Foot,1,0,1,Normal,0,1,2.751363298439524,1.2375520256832222,2.434727459770663,0,3.600000000000051,0,2.2022715545545153,120.0,42.9,0.1,False,0.0,5.174546508233842,0.9000000000000057,0.29999999999999716,1.0,120.0,42.9
